id,logo,urlName,fullName,businessActivity,primaryDescribedActivity,addressBlock,addressStreet,addressLevel,addressUnit,addressBuilding,postalCode,registrationNumber,registrationIncorporationDate,primarySsicDescription,shareCapDelta,contactNum,email,url,numberOfStaff,tags,ratingGoogle,mpIndex
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
610788,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202038676R.png,ipercept-tech-pte-ltd,I-PERCEPT TECH PTE. LTD.,,"FINTECH,REGTECH,INSURTECH,DIGITAL TECH",6,RAFFLES QUAY,14,07,,048580,202038676R,2020-11-30T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
609731,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202037613K.png,resulut-pte-ltd,RESULUT PTE. LTD.,,DEVELOPMENT OF FINTECH APPLICATION,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,202037613K,2020-11-20T12:00:00.000Z,DEVELOPMENT OF SOFTWARE FOR CYBERSECURITY,30000.0,,,,,,0,undefined(undefined)
607154,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202035020K.png,arissa-tyler-pte-ltd,ARISSA TYLER PTE. LTD.,,FINTECH AND REMITTANCES SOLUTIONS,803,KING GEORGE''S AVENUE,02,190,,200803,202035020K,2020-11-02T12:00:00.000Z,REMITTANCE SERVICES,100000.0,,,,,,0,undefined(undefined)
607015,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202033360M.png,fintech-dx-pte-ltd,FINTECH DX PTE. LTD.,,IT TRAINING (FINTECH & DIGITAL TRANSFORMATION TRAINING),3,FUSIONOPOLIS WAY,13,25,SYMBIOSIS,138633,202033360M,2020-10-20T12:00:00.000Z,OTHER EDUCATION N.E.C.,0.0,,,,,,0,undefined(undefined)
605368,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031458H.png,rational-pricing-technologies-pte-ltd,RATIONAL PRICING TECHNOLOGIES PTE. LTD.,,PROVIDING FINTECH SOLUTIONS AND SERVICES,5001,BEACH ROAD,08,11,GOLDEN MILE COMPLEX,199588,202031458H,2020-10-06T12:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),0.0,,,,,Tech Startup,0,undefined(undefined)
604913,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202031078R.png,zenza-capital-pte-limited,ZENZA CAPITAL PTE. LIMITED,,FINTECH ACTIVITIES,81,UBI AVENUE 4,09,18,UB. ONE,408830,202031078R,2020-10-02T12:00:00.000Z,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,135.613,,,,,Tech Startup,0,undefined(undefined)
602158,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026619C.png,kuikpay-pte-ltd,KUIKPAY PTE. LTD.,,FINTECH SERVICES SPECIALIZING IN PAYMENT,3005,UBI AVENUE 3,03,56,KAMPONG UBI INDUSTRIAL ESTATE,408861,202026619C,2020-09-01T12:00:00.000Z,TRANSACTION/PAYMENT PROCESSING SERVICES,1000.0,,,,,,0,undefined(undefined)
602462,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202026484G.png,noshop-pte-ltd,NOSHOP PTE. LTD.,,,,,,,,,202026484G,2020-09-01T00:00:00.000Z,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY) (DEVELOPMENT OF FINTECH SERVICES),,,,,,Tech Startup,0,undefined(undefined)
593801,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024455G.png,uii-holding-pte-ltd,UII HOLDING PTE. LTD.,,,,,,,,,202024455G,2020-08-17T00:00:00.000Z,"OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES) (ICT, IOT, FINTECH, TECH ORIENTED INFO ENTERTAINMENT)",,,,,,Tech Startup,0,undefined(undefined)
593832,https://sgpgrid.s3-ap-southeast-1.amazonaws.com/202024342G.png,zeus-gold-private-limited,ZEUS GOLD PRIVATE LIMITED,,HOLDING COMPANY FOR FINTECH & TRAVEL SERVICES COMPANIES IN INDIA,162,LENTOR LOOP,03,06,BULLION PARK,789095,202024342G,2020-08-15T12:00:00.000Z,OTHER HOLDING COMPANIES,100.0,,,,,,0,undefined(undefined)
